,0
alt_net_operating_assets_signal,23.953034571061533
rank_vol_regime,22.579525232315063
tail_dep_lower,22.15292884680358
alt_eodhd_sentiment_csz,21.63318670541048
alt_sector_oas_momentum_signal,21.365518344938756
alt_earnings_beat_streak_signal_sni_csz,20.762300491333008
wavelet_band_dominant_frequency,20.578975500805036
alt_chs_distress_signal,19.932339876890182
alt_eps_trend_signal_csz,19.845394750436146
alt_cyclicality_cu_au_signal,18.801328748464584
alt_sales_yield_signal,18.747137755155563
alt_book_to_market_signal,18.712400436401367
alt_gross_margin_signal_sni,18.707529644171398
alt_dxy_beta_signal_sni,18.639463424682617
alt_naive_dtd_signal_sni_csz,18.509421914815903
rank_obv,17.65949769616127
alt_gross_profitability_signal_csz,17.290531172417104
alt_oil_beta_signal_csz,17.265068244189024
rank_mean_reversion,16.940717788413167
rank_bollinger_pct_b,16.755222731828688
alt_current_ratio_chg_signal_sni_csz,16.636704802513123
alt_sales_yield_signal_csz,16.418693220073525
rank_efficiency_ratio,16.392162369564176
alt_operating_profitability_signal_csz,15.296392964432016
alt_operating_profitability_signal,14.937684978668889
alt_finra_delta_si_3m_signal_csz,14.891735735038916
alt_asset_growth_signal_sni,14.694687396287918
wavelet_band_quarterly_energy_csz,14.176862980425359
vol_reversal_csz,13.892877557873726
alt_gross_profitability_signal,12.700931156426668
sector_momentum_63d,12.568519205919333
rank_vpt,12.503308168479375
ix_mom_x_hurst_csz,12.354488924145699
ret_reversal_2d,12.19938866297404
alt_value_composite_signal_sni_csz,11.93529987335205
ix_mom_x_vix_csz,11.604766130447388
vol_spike_20d_csz,11.561618814865747
alt_current_ratio_chg_signal_csz,11.262116901576519
zscore_rev_20d_csz,11.129806995391846
alt_credit_beta_signal_sni_csz,10.223259925842285
alt_altman_z_signal,9.977342470735312
alt_sector_oas_momentum_signal_sni_csz,9.671982365846635
alt_gross_margin_signal_csz,9.014034267318877
alt_gross_profitability_signal_sni,8.79877875248591
log_liquidity_z_csz,8.577025055885315
alt_inflation_sensitivity_signal_sni_csz,8.538078467051188
mom_10d,8.362839698791504
alt_gross_margin_signal,8.292554168296713
alt_eodhd_sentiment_chg_csz,8.119857303798199
alt_asset_growth_signal,7.233345150947571
alt_roe_signal,7.092269957065582
alt_insider_activity_signal_csz,6.854965016245842
mom_5d,6.746824974815051
price_52w_high,6.578341775957276
ret_reversal_1d_csz,6.4360715538263324
alt_cash_based_op_prof_signal,6.187030352652073
alt_roe_signal_csz,6.049985289573669
alt_altman_z_signal_sni,5.0191869080066684
alt_sector_oas_momentum_signal_sni,5.018157325292888
wavelet_band_spectral_entropy_csz,4.819765850901604
alt_cash_based_op_prof_signal_sni_csz,4.526649326086044
alt_cash_based_op_prof_signal_csz,4.13808028648297
ix_high52w_x_mom_csz,4.11549985408783
alt_altman_z_signal_sni_csz,2.803892809897661
alt_eodhd_news_volume_csz,2.550779914855957
z_mom_63d_sn,2.321314036846161
ret_reversal_1d,2.267474889755249
vol_trend_21d_csz,2.053830067316691
alt_eodhd_news_volume,1.2904972314834595
rsi_14d_csz,1.0625699758529663
alt_eodhd_sentiment_chg,0.6338806629180909
mom_21d_sn,0.43603426218032837
wavelet_band_quarterly_energy,0.4105330049991608
rank_vol_reversal,0.18481050431728363
alt_net_share_issuance_signal_sni_csz,0.029087498784065247
z_rvol_21d_sn,0.0
alt_cash_based_op_prof_signal_sni,0.0
efficiency_21d,0.0
alt_finra_delta_si_3m_signal,0.0
hurst_63d_csz,0.0
alt_operating_profitability_signal_sni_csz,0.0
mom_21d,0.0
rank_max_effect,0.0
rank_volume_trend,0.0
obv_zscore,0.0
alt_gross_profitability_signal_sni_csz,0.0
alt_gross_margin_signal_sni_csz,0.0
alt_roe_signal_sni,0.0
alt_net_operating_assets_signal_sni,0.0
vol_reversal,0.0
alt_piotroski_f_score_signal_sni,0.0
signed_jump_21,0.0
alt_value_composite_signal_sni,0.0
alt_sales_yield_signal_sni,0.0
